"file name","company name","topic","source_file_path","notes/keywords","country","sector","revenue","employees"
"Aak Report LTI.txt","Aak","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Aak%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Aak","Denmark","industrials",730,830
"Abb Report LTI.txt","Abb","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Abb%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Abb","Sweden","consumer defensive",4050,3990
"Academedia Report LTI.txt","Academedia","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Academedia%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Academedia","Sweden","consumer defensive",4050,3990
"Acrinova Report LTI.txt","Acrinova","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Acrinova%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Acrinova","Sweden","consumer defensive",4050,3990
"Addlife Report LTI.txt","Addlife","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Addlife%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Addlife","Denmark","consumer cyclical",10,80
"Addnode Report LTI.txt","Addnode","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Addnode%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Addnode","Denmark","consumer cyclical",10,80
"Addtech Report LTI.txt","Addtech","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Addtech%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Addtech","Denmark","consumer cyclical",10,80
"Afry Report LTI.txt","Afry","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Afry%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Afry","Denmark","industrials",2910,8780
"agf Report LTI.txt","agf","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/agf%20Report%20LTI.txt","File contain a summary of long term incentive plans for company agf","Denmark","industrials",2910,8780
"Alfa Laval Report LTI.txt","Alfa Laval","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Alfa%20Laval%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Alfa Laval","Denmark","industrials",2910,8780
"Alimak Group Report LTI.txt","Alimak Group","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Alimak%20Group%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Alimak Group","Sweden","industrials",30450,109900
"alisa Report LTI.txt","alisa","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/alisa%20Report%20LTI.txt","File contain a summary of long term incentive plans for company alisa","Sweden","industrials",30450,109900
"alk Report LTI.txt","alk","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/alk%20Report%20LTI.txt","File contain a summary of long term incentive plans for company alk","Sweden","consumer defensive",450,21000
"Alleima Report LTI.txt","Alleima","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Alleima%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Alleima","Sweden","consumer defensive",450,21000
"Alligator Bioscience Report LTI.txt","Alligator Bioscience","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Alligator%20Bioscience%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Alligator Bioscience","Sweden","real estate",10,10
"Alligo Report LTI.txt","Alligo","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Alligo%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Alligo","Sweden","real estate",10,10
"Ambea Report LTI.txt","Ambea","long term incentive","https://github.com/MattiasEhnhage/RemRepTextFiles/blob/main/LTI/Ambea%20Report%20LTI.txt","File contain a summary of long term incentive plans for company Ambea","Sweden","real estate",10,10
